NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:14:58 2026

Terramodel  Project: mc30.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 3285.163. Name:MC30

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     107,   860.000,     -0.000,         ,         ,   232517.109,  6276229.220, CH 860.000            ,        ,
     108,   870.000,      0.000,         ,         ,   232526.413,  6276225.554, CH 870.000            ,        ,
     109,   880.000,     -0.000,         ,         ,   232535.717,  6276221.887, CH 880.000            ,        ,
     110,   890.000,      0.000,         ,         ,   232545.020,  6276218.220, CH 890.000            ,        ,
     111,   900.000,     -0.000,         ,         ,   232554.324,  6276214.554, CH 900.000            ,        ,
     112,   905.840,      0.000,         ,         ,   232559.757,  6276212.412, CH 905.840            ,        ,
     113,   910.000,      0.000,         ,         ,   232563.588,  6276210.793, CH 910.000            ,        ,
     114,   920.000,     -0.000,         ,         ,   232572.438,  6276206.150, CH 920.000            ,        ,
     115,   930.000,     -0.000,         ,         ,   232580.682,  6276200.500, CH 930.000            ,        ,
     116,   940.000,      0.000,         ,         ,   232588.206,  6276193.921, CH 940.000            ,        ,
     117,   950.000,     -0.000,         ,         ,   232594.905,  6276186.505, CH 950.000            ,        ,
     118,   959.651,      0.000,         ,         ,   232600.503,  6276178.649, CH 959.651            ,        ,
     119,   960.000,      0.000,         ,         ,   232600.689,  6276178.354, CH 960.000            ,        ,
     120,   970.000,     -0.000,         ,         ,   232606.020,  6276169.893, CH 970.000            ,        ,
     121,   980.000,      0.000,         ,         ,   232611.352,  6276161.433, CH 980.000            ,        ,
     122,   990.000,      0.000,         ,         ,   232616.683,  6276152.973, CH 990.000            ,        ,
     123,  1000.000,     -0.000,         ,         ,   232622.014,  6276144.513, CH 1000.000           ,        ,
     124,  1010.000,      0.000,         ,         ,   232627.346,  6276136.052, CH 1010.000           ,        ,
     125,  1020.000,      0.000,         ,         ,   232632.677,  6276127.592, CH 1020.000           ,        ,
     126,  1030.000,     -0.000,         ,         ,   232638.008,  6276119.132, CH 1030.000           ,        ,
     127,  1040.000,      0.000,         ,         ,   232643.340,  6276110.671, CH 1040.000           ,        ,
     128,  1050.000,      0.000,         ,         ,   232648.671,  6276102.211, CH 1050.000           ,        ,
     129,  1060.000,     -0.000,         ,         ,   232654.003,  6276093.751, CH 1060.000           ,        ,
     130,  1067.863,     -0.000,         ,         ,   232658.195,  6276087.098, CH 1067.863           ,        ,
     131,  1070.000,      0.000,         ,         ,   232659.357,  6276085.305, CH 1070.000           ,        ,
     132,  1080.000,     -0.000,         ,         ,   232665.375,  6276077.326, CH 1080.000           ,        ,
     133,  1090.000,      0.000,         ,         ,   232672.289,  6276070.109, CH 1090.000           ,        ,
