NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:05:53 2026

Terramodel  Project: mc10.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 5608.000 to End Ch 13848.485. Name:MC10

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      84,  6420.168,      0.000,         ,         ,   776061.476,  6286972.049, CH 6420.168           ,        ,
      85,  6430.000,      0.000,         ,         ,   776051.742,  6286970.664, CH 6430.000           ,        ,
      86,  6440.000,      0.000,         ,         ,   776041.833,  6286969.320, CH 6440.000           ,        ,
      87,  6450.000,      0.000,         ,         ,   776031.907,  6286968.107, CH 6450.000           ,        ,
      88,  6460.000,     -0.000,         ,         ,   776021.959,  6286967.092, CH 6460.000           ,        ,
      89,  6470.000,      0.000,         ,         ,   776011.987,  6286966.341, CH 6470.000           ,        ,
      90,  6470.168,      0.000,         ,         ,   776011.820,  6286966.331, CH 6470.168           ,        ,
      91,  6480.000,      0.000,         ,         ,   776001.997,  6286965.911, CH 6480.000           ,        ,
      92,  6490.000,      0.000,         ,         ,   775991.998,  6286965.815, CH 6490.000           ,        ,
      93,  6500.000,      0.000,         ,         ,   775982.001,  6286966.052, CH 6500.000           ,        ,
      94,  6510.000,      0.000,         ,         ,   775972.018,  6286966.621, CH 6510.000           ,        ,
      95,  6520.000,      0.000,         ,         ,   775962.059,  6286967.524, CH 6520.000           ,        ,
      96,  6530.000,      0.000,         ,         ,   775952.136,  6286968.757, CH 6530.000           ,        ,
      97,  6540.000,      0.000,         ,         ,   775942.260,  6286970.321, CH 6540.000           ,        ,
      98,  6550.000,      0.000,         ,         ,   775932.441,  6286972.213, CH 6550.000           ,        ,
      99,  6560.000,      0.000,         ,         ,   775922.690,  6286974.431, CH 6560.000           ,        ,
     100,  6570.000,     -0.000,         ,         ,   775913.019,  6286976.973, CH 6570.000           ,        ,
     101,  6580.000,      0.000,         ,         ,   775903.438,  6286979.835, CH 6580.000           ,        ,
     102,  6590.000,      0.000,         ,         ,   775893.958,  6286983.016, CH 6590.000           ,        ,
     103,  6598.257,      0.000,         ,         ,   775886.214,  6286985.879, CH 6598.257           ,        ,
     104,  6600.000,     -0.000,         ,         ,   775884.589,  6286986.510, CH 6600.000           ,        ,
     105,  6610.000,      0.000,         ,         ,   775875.335,  6286990.299, CH 6610.000           ,        ,
