NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:12:24 2026

Terramodel  Project: mc20.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 3084.323 to End Ch 5123.751. Name:MC20

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      84,  3880.000,     -0.000,         ,         ,   230052.417,  6287085.153, CH 3880.000           ,        ,
      85,  3890.000,      0.000,         ,         ,   230044.049,  6287079.678, CH 3890.000           ,        ,
      86,  3890.149,      0.000,         ,         ,   230043.923,  6287079.598, CH 3890.149           ,        ,
      87,  3900.000,     -0.000,         ,         ,   230035.476,  6287074.531, CH 3900.000           ,        ,
      88,  3910.000,     -0.000,         ,         ,   230026.704,  6287069.731, CH 3910.000           ,        ,
      89,  3920.000,     -0.000,         ,         ,   230017.748,  6287065.285, CH 3920.000           ,        ,
      90,  3930.000,     -0.000,         ,         ,   230008.620,  6287061.202, CH 3930.000           ,        ,
      91,  3940.000,     -0.000,         ,         ,   229999.337,  6287057.486, CH 3940.000           ,        ,
      92,  3950.000,      0.000,         ,         ,   229989.912,  6287054.145, CH 3950.000           ,        ,
      93,  3952.203,      0.000,         ,         ,   229987.818,  6287053.460, CH 3952.203           ,        ,
      94,  3960.000,      0.000,         ,         ,   229980.397,  6287051.067, CH 3960.000           ,        ,
      95,  3970.000,      0.000,         ,         ,   229970.880,  6287047.999, CH 3970.000           ,        ,
      96,  3976.102,     -0.000,         ,         ,   229965.072,  6287046.126, CH 3976.102           ,        ,
      97,  3980.000,      0.000,         ,         ,   229961.350,  6287044.970, CH 3980.000           ,        ,
      98,  3990.000,      0.000,         ,         ,   229951.693,  6287042.376, CH 3990.000           ,        ,
      99,  4000.000,      0.000,         ,         ,   229941.908,  6287040.322, CH 4000.000           ,        ,
     100,  4010.000,     -0.000,         ,         ,   229932.023,  6287038.815, CH 4010.000           ,        ,
     101,  4020.000,      0.000,         ,         ,   229922.071,  6287037.859, CH 4020.000           ,        ,
     102,  4030.000,      0.000,         ,         ,   229912.080,  6287037.457, CH 4030.000           ,        ,
     103,  4040.000,      0.000,         ,         ,   229902.082,  6287037.610, CH 4040.000           ,        ,
     104,  4046.252,      0.000,         ,         ,   229895.842,  6287037.988, CH 4046.252           ,        ,
     105,  4050.000,     -0.000,         ,         ,   229892.109,  6287038.318, CH 4050.000           ,        ,
     106,  4060.000,      0.000,         ,         ,   229882.186,  6287039.552, CH 4060.000           ,        ,
     107,  4070.000,     -0.000,         ,         ,   229872.333,  6287041.253, CH 4070.000           ,        ,
     108,  4080.000,      0.000,         ,         ,   229862.557,  6287043.355, CH 4080.000           ,        ,
     109,  4090.000,     -0.000,         ,         ,   229852.859,  6287045.795, CH 4090.000           ,        ,
     110,  4100.000,     -0.000,         ,         ,   229843.236,  6287048.511, CH 4100.000           ,        ,
     111,  4110.000,     -0.000,         ,         ,   229833.675,  6287051.442, CH 4110.000           ,        ,
     112,  4120.000,      0.000,         ,         ,   229824.163,  6287054.527, CH 4120.000           ,        ,
     113,  4130.000,     -0.000,         ,         ,   229814.682,  6287057.707, CH 4130.000           ,        ,
     114,  4136.252,      0.000,         ,         ,   229808.762,  6287059.718, CH 4136.252           ,        ,
     115,  4140.000,      0.000,         ,         ,   229805.214,  6287060.925, CH 4140.000           ,        ,
     116,  4150.000,      0.000,         ,         ,   229795.746,  6287064.145, CH 4150.000           ,        ,
     117,  4160.000,      0.000,         ,         ,   229786.279,  6287067.365, CH 4160.000           ,        ,
     118,  4170.000,     -0.000,         ,         ,   229776.812,  6287070.585, CH 4170.000           ,        ,
     119,  4180.000,     -0.000,         ,         ,   229767.344,  6287073.805, CH 4180.000           ,        ,
     120,  4190.000,     -0.000,         ,         ,   229757.877,  6287077.025, CH 4190.000           ,        ,
     121,  4200.000,     -0.000,         ,         ,   229748.410,  6287080.245, CH 4200.000           ,        ,
     122,  4210.000,      0.000,         ,         ,   229738.942,  6287083.465, CH 4210.000           ,        ,
     123,  4220.000,      0.000,         ,         ,   229729.475,  6287086.685, CH 4220.000           ,        ,
     124,  4230.000,      0.000,         ,         ,   229720.007,  6287089.905, CH 4230.000           ,        ,
     125,  4232.839,      0.000,         ,         ,   229717.319,  6287090.819, CH 4232.839           ,        ,
     126,  4240.000,      0.000,         ,         ,   229710.539,  6287093.122, CH 4240.000           ,        ,
     127,  4250.000,      0.000,         ,         ,   229701.060,  6287096.309, CH 4250.000           ,        ,
     128,  4260.000,     -0.000,         ,         ,   229691.557,  6287099.422, CH 4260.000           ,        ,
     129,  4270.000,     -0.000,         ,         ,   229682.017,  6287102.420, CH 4270.000           ,        ,
     130,  4280.000,     -0.000,         ,         ,   229672.428,  6287105.257, CH 4280.000           ,        ,
     131,  4290.000,      0.000,         ,         ,   229662.781,  6287107.890, CH 4290.000           ,        ,
     132,  4297.839,     -0.000,         ,         ,   229655.174,  6287109.782, CH 4297.839           ,        ,
     133,  4300.000,     -0.000,         ,         ,   229653.070,  6287110.274, CH 4300.000           ,        ,
     134,  4310.000,      0.000,         ,         ,   229643.294,  6287112.377, CH 4310.000           ,        ,
     135,  4320.000,     -0.000,         ,         ,   229633.461,  6287114.193, CH 4320.000           ,        ,
     136,  4330.000,      0.000,         ,         ,   229623.579,  6287115.721, CH 4330.000           ,        ,
     137,  4340.000,      0.000,         ,         ,   229613.656,  6287116.959, CH 4340.000           ,        ,
     138,  4350.000,      0.000,         ,         ,   229603.701,  6287117.907, CH 4350.000           ,        ,
     139,  4360.000,      0.000,         ,         ,   229593.723,  6287118.563, CH 4360.000           ,        ,
     140,  4370.000,      0.000,         ,         ,   229583.730,  6287118.927, CH 4370.000           ,        ,
     141,  4380.000,      0.000,         ,         ,   229573.731,  6287118.999, CH 4380.000           ,        ,
     142,  4390.000,      0.000,         ,         ,   229563.734,  6287118.779, CH 4390.000           ,        ,
     143,  4400.000,      0.000,         ,         ,   229553.747,  6287118.266, CH 4400.000           ,        ,
