NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:27:46 2026

Terramodel  Project: mc80.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch -35.352 to End Ch 4872.028. Name:MC80

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     186,  1690.000,     -0.000,         ,         ,   241476.089,  6277578.070, CH 1690.000           ,        ,
     187,  1691.684,      0.000,         ,         ,   241477.673,  6277577.499, CH 1691.684           ,        ,
     188,  1700.000,      0.000,         ,         ,   241485.655,  6277575.187, CH 1700.000           ,        ,
     189,  1710.000,     -0.000,         ,         ,   241495.546,  6277573.783, CH 1710.000           ,        ,
     190,  1720.000,      0.000,         ,         ,   241505.536,  6277573.911, CH 1720.000           ,        ,
     191,  1730.000,      0.000,         ,         ,   241515.387,  6277575.568, CH 1730.000           ,        ,
     192,  1740.000,     -0.000,         ,         ,   241524.869,  6277578.716, CH 1740.000           ,        ,
     193,  1750.000,      0.000,         ,         ,   241533.756,  6277583.279, CH 1750.000           ,        ,
     194,  1760.000,     -0.000,         ,         ,   241541.839,  6277589.150, CH 1760.000           ,        ,
     195,  1765.218,      0.000,         ,         ,   241545.673,  6277592.688, CH 1765.218           ,        ,
     196,  1770.000,      0.000,         ,         ,   241549.054,  6277596.069, CH 1770.000           ,        ,
     197,  1780.000,      0.000,         ,         ,   241556.125,  6277603.140, CH 1780.000           ,        ,
     198,  1789.080,      0.000,         ,         ,   241562.546,  6277609.560, CH 1789.080           ,        ,
     199,  1790.000,      0.000,         ,         ,   241563.194,  6277610.213, CH 1790.000           ,        ,
     200,  1800.000,      0.000,         ,         ,   241569.920,  6277617.609, CH 1800.000           ,        ,
     201,  1810.000,      0.000,         ,         ,   241576.034,  6277625.519, CH 1810.000           ,        ,
     202,  1820.000,      0.000,         ,         ,   241581.497,  6277633.892, CH 1820.000           ,        ,
     203,  1829.009,      0.000,         ,         ,   241585.831,  6277641.788, CH 1829.009           ,        ,
     204,  1830.000,     -0.000,         ,         ,   241586.276,  6277642.673, CH 1830.000           ,        ,
     205,  1840.000,     -0.000,         ,         ,   241590.769,  6277651.607, CH 1840.000           ,        ,
     206,  1850.000,      0.000,         ,         ,   241595.262,  6277660.541, CH 1850.000           ,        ,
     207,  1860.000,      0.000,         ,         ,   241599.755,  6277669.475, CH 1860.000           ,        ,
     208,  1870.000,      0.000,         ,         ,   241604.247,  6277678.409, CH 1870.000           ,        ,
     209,  1880.000,     -0.000,         ,         ,   241608.740,  6277687.343, CH 1880.000           ,        ,
     210,  1890.000,     -0.000,         ,         ,   241613.233,  6277696.277, CH 1890.000           ,        ,
     211,  1900.000,      0.000,         ,         ,   241617.726,  6277705.211, CH 1900.000           ,        ,
     212,  1910.000,      0.000,         ,         ,   241622.219,  6277714.144, CH 1910.000           ,        ,
     213,  1920.000,      0.000,         ,         ,   241626.712,  6277723.078, CH 1920.000           ,        ,
     214,  1930.000,     -0.000,         ,         ,   241631.204,  6277732.012, CH 1930.000           ,        ,
     215,  1940.000,     -0.000,         ,         ,   241635.697,  6277740.946, CH 1940.000           ,        ,
     216,  1950.000,      0.000,         ,         ,   241640.190,  6277749.880, CH 1950.000           ,        ,
     217,  1960.000,      0.000,         ,         ,   241644.683,  6277758.814, CH 1960.000           ,        ,
     218,  1960.244,      0.000,         ,         ,   241644.792,  6277759.032, CH 1960.244           ,        ,
     219,  1970.000,      0.000,         ,         ,   241649.853,  6277767.361, CH 1970.000           ,        ,
     220,  1980.000,     -0.000,         ,         ,   241656.348,  6277774.950, CH 1980.000           ,        ,
     221,  1990.000,      0.000,         ,         ,   241663.994,  6277781.377, CH 1990.000           ,        ,
     222,  2000.000,     -0.000,         ,         ,   241672.587,  6277786.470, CH 2000.000           ,        ,
     223,  2010.000,      0.000,         ,         ,   241681.896,  6277790.093, CH 2010.000           ,        ,
     224,  2020.000,      0.000,         ,         ,   241691.671,  6277792.148, CH 2020.000           ,        ,
     225,  2030.000,      0.000,         ,         ,   241701.650,  6277792.580, CH 2030.000           ,        ,
     226,  2040.000,      0.000,         ,         ,   241711.566,  6277791.377, CH 2040.000           ,        ,
     227,  2050.000,      0.000,         ,         ,   241721.153,  6277788.572, CH 2050.000           ,        ,
     228,  2060.000,      0.000,         ,         ,   241730.154,  6277784.240, CH 2060.000           ,        ,
     229,  2070.000,      0.000,         ,         ,   241738.327,  6277778.498, CH 2070.000           ,        ,
     230,  2080.000,     -0.000,         ,         ,   241745.453,  6277771.498, CH 2080.000           ,        ,
     231,  2090.000,      0.000,         ,         ,   241751.342,  6277763.430, CH 2090.000           ,        ,
     232,  2100.000,     -0.000,         ,         ,   241755.834,  6277754.508, CH 2100.000           ,        ,
     233,  2110.000,      0.000,         ,         ,   241758.811,  6277744.973, CH 2110.000           ,        ,
     234,  2118.453,      0.000,         ,         ,   241760.084,  6277736.623, CH 2118.453           ,        ,
     235,  2120.000,      0.000,         ,         ,   241760.211,  6277735.082, CH 2120.000           ,        ,
     236,  2130.000,      0.000,         ,         ,   241761.030,  6277725.115, CH 2130.000           ,        ,
     237,  2140.000,      0.000,         ,         ,   241761.850,  6277715.149, CH 2140.000           ,        ,
     238,  2150.000,     -0.000,         ,         ,   241762.669,  6277705.183, CH 2150.000           ,        ,
     239,  2160.000,      0.000,         ,         ,   241763.488,  6277695.216, CH 2160.000           ,        ,
     240,  2170.000,      0.000,         ,         ,   241764.308,  6277685.250, CH 2170.000           ,        ,
     241,  2177.127,     -0.000,         ,         ,   241764.892,  6277678.147, CH 2177.127           ,        ,
     242,  2180.000,     -0.000,         ,         ,   241765.182,  6277675.289, CH 2180.000           ,        ,
     243,  2190.000,      0.000,         ,         ,   241767.040,  6277665.470, CH 2190.000           ,        ,
     244,  2200.000,      0.000,         ,         ,   241770.186,  6277655.986, CH 2200.000           ,        ,
     245,  2210.000,      0.000,         ,         ,   241774.565,  6277647.004, CH 2210.000           ,        ,
     246,  2220.000,     -0.000,         ,         ,   241780.100,  6277638.684, CH 2220.000           ,        ,
     247,  2230.000,      0.000,         ,         ,   241786.691,  6277631.174, CH 2230.000           ,        ,
     248,  2240.000,      0.000,         ,         ,   241794.223,  6277624.607, CH 2240.000           ,        ,
     249,  2250.000,      0.000,         ,         ,   241802.560,  6277619.099, CH 2250.000           ,        ,
     250,  2252.116,      0.000,         ,         ,   241804.414,  6277618.079, CH 2252.116           ,        ,
     251,  2260.000,      0.000,         ,         ,   241811.375,  6277614.376, CH 2260.000           ,        ,
     252,  2270.000,     -0.000,         ,         ,   241820.203,  6277609.679, CH 2270.000           ,        ,
     253,  2280.000,      0.000,         ,         ,   241829.032,  6277604.983, CH 2280.000           ,        ,
     254,  2290.000,      0.000,         ,         ,   241837.860,  6277600.286, CH 2290.000           ,        ,
     255,  2293.080,      0.000,         ,         ,   241840.579,  6277598.839, CH 2293.080           ,        ,
     256,  2300.000,      0.000,         ,         ,   241846.549,  6277595.344, CH 2300.000           ,        ,
