NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:36:06 2026

Terramodel  Project: mc90.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2900.000 to End Ch 4420.000. Name:MC90

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     255,  3710.000,      0.000,         ,         ,   229232.381,  6304485.369, CH 3710.000           ,        ,
     256,  3720.000,      0.000,         ,         ,   229232.566,  6304495.366, CH 3720.000           ,        ,
     257,  3730.000,     -0.000,         ,         ,   229232.085,  6304505.352, CH 3730.000           ,        ,
     258,  3740.000,      0.000,         ,         ,   229230.940,  6304515.285, CH 3740.000           ,        ,
     259,  3740.159,      0.000,         ,         ,   229230.916,  6304515.442, CH 3740.159           ,        ,
     260,  3750.000,      0.000,         ,         ,   229229.454,  6304525.174, CH 3750.000           ,        ,
     261,  3760.000,      0.000,         ,         ,   229227.967,  6304535.062, CH 3760.000           ,        ,
     262,  3770.000,      0.000,         ,         ,   229226.481,  6304544.951, CH 3770.000           ,        ,
     263,  3780.000,      0.000,         ,         ,   229224.994,  6304554.840, CH 3780.000           ,        ,
     264,  3790.000,      0.000,         ,         ,   229223.508,  6304564.729, CH 3790.000           ,        ,
     265,  3790.116,     -0.000,         ,         ,   229223.491,  6304564.843, CH 3790.116           ,        ,
     266,  3800.000,      0.000,         ,         ,   229222.345,  6304574.659, CH 3800.000           ,        ,
     267,  3807.085,      0.000,         ,         ,   229221.922,  6304581.731, CH 3807.085           ,        ,
     268,  3810.000,     -0.000,         ,         ,   229221.845,  6304584.645, CH 3810.000           ,        ,
     269,  3820.000,     -0.000,         ,         ,   229221.965,  6304594.643, CH 3820.000           ,        ,
     270,  3830.000,      0.000,         ,         ,   229222.578,  6304604.623, CH 3830.000           ,        ,
     271,  3840.000,      0.000,         ,         ,   229223.552,  6304614.576, CH 3840.000           ,        ,
